children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
0,394021.0722,68,secondary education,1,civil partnership,1,M,retiree,0,77805.67744,having a wedding
0,-176.2166883,33,secondary education,1,unmarried,4,M,employee,0,138830.6507,cars
0,-6448.81086,43,MASTERS DEGREE,0,civil partnership,1,F,partner,0,154128.8787,car purchase
0,-597.8818273,25,masters degree,0,unmarried,4,M,employee,1,192247.2986,education
0,-650.5877964,31,masters degree,0,civil partnership,1,F,partner,0,754240.7972,to become educated
0,-1030.362606,30,secondary education,1,unmarried,4,M,partner,0,142865.5791,buy real estate
0,,50,secondary education,1,married,0,F,civil servant,0,,second-hand car purchase
0,-1257.49619,20,bachelor degree,2,unmarried,4,F,employee,0,82065.08902,getting an education
0,-4375.681384,43,bachelor degree,2,divorced,3,F,partner,0,272957.1335,car purchase
1,-1362.041728,26,SECONDARY EDUCATION,1,married,0,F,employee,0,100780.4967,buying my own car
1,-1039.451741,49,secondary education,1,unmarried,4,F,employee,0,106385.9197,to become educated
2,-2262.712304,37,secondary education,1,married,0,F,partner,0,182682.4599,second-hand car purchase
1,-2689.137274,33,masters degree,0,civil partnership,1,M,civil servant,0,356277.9093,having a wedding
0,-3341.067886,45,secondary education,1,married,0,F,employee,0,162065.5164,construction of own property
0,-1181.443228,54,secondary education,1,married,0,F,employee,0,44591.80689,car
0,353731.4323,63,secondary education,1,married,0,F,retiree,0,92342.73061,cars
1,-6953.631655,50,masters degree,0,civil partnership,1,F,employee,0,203199.6836,wedding ceremony
1,-3554.671526,28,secondary education,1,married,0,F,employee,0,52746.42232,to get asupplementary education
0,-4219.883386,61,SECONDARY EDUCATION,1,divorced,3,F,partner,0,311453.5995,purchase of my own house
0,-3480.072793,27,masters degree,0,civil partnership,1,F,employee,0,92238.81311,cars
0,,54,secondary education,1,civil partnership,1,F,retiree,1,,to have a wedding
0,370145.0872,64,secondary education,1,widow / widower,2,F,retiree,0,149141.0435,education
0,-2424.809749,44,secondary education,1,widow / widower,2,F,employee,0,58616.40596,education
0,-335.3186304,36,masters degree,0,married,0,M,employee,0,414404.2029,property
0,-4341.786775,53,secondary education,1,civil partnership,1,F,partner,0,261369.5065,real estate transactions
1,-2534.46239,48,secondary education,1,married,0,M,employee,0,129902.2837,to become educated
0,-2986.20212,42,secondary education,1,civil partnership,1,F,employee,0,173987.4729,buy real estate
0,-7845.649233,48,Masters Degree,0,unmarried,4,M,civil servant,0,435388.1953,getting higher education
0,-1182.547744,45,secondary education,1,married,0,F,employee,0,110004.3598,housing transactions
0,-118.8914114,35,bachelor degree,2,unmarried,4,M,employee,0,282900.4713,second-hand car purchase
0,,21,secondary education,1,unmarried,4,M,partner,0,,transactions with the residential real estate
0,-916.4288293,28,secondary education,1,married,0,M,employee,0,145214.5236,to become educated
0,,52,masters degree,0,married,0,F,retiree,0,,purchase of the house for my family
2,-2152.475526,46,masters degree,0,married,0,M,partner,0,592071.4646,transactions with the residential real estate
0,-779.2284491,23,secondary education,1,unmarried,4,F,employee,0,91247.05816,purchase of my own house
1,-2802.226671,28,MASTERS DEGREE,0,married,0,M,civil servant,0,207561.467,buy commercial real estate
0,338113.5299,62,secondary education,1,married,0,F,retiree,0,43929.6964,cars
1,,32,masters degree,0,married,0,M,civil servant,0,,transactions with the residential real estate
0,-1631.939403,40,secondary education,1,civil partnership,1,M,employee,0,97946.84101,to become educated
1,-5110.543709,45,secondary education,1,married,0,F,employee,0,81142.78349,purchase of the house for my family
1,-2953.151948,38,secondary education,1,married,0,M,employee,1,81935.3815,real estate transactions
1,-2252.192722,44,masters degree,0,married,0,M,employee,0,148992.03,buying a second-hand car
0,-726.9437706,43,masters degree,0,unmarried,4,F,employee,0,140843.9744,to own a car
0,359722.9451,61,masters degree,0,married,0,M,retiree,0,175127.646,purchase of a car
0,-3278.296751,27,secondary education,1,unmarried,4,M,partner,0,253681.7099,cars
0,-127.3349424,25,secondary education,1,unmarried,4,F,partner,0,82740.4129,purchase of a car
0,-204.6731655,33,Secondary Education,1,married,0,F,employee,0,110833.2154,profile education
2,,50,masters degree,0,married,0,F,employee,0,,housing
0,,52,secondary education,1,married,0,M,employee,0,,housing
0,-7125.215028,53,secondary education,1,married,0,F,civil servant,0,255909.1728,transactions with my real estate
0,-275.9938475,30,secondary education,1,married,0,M,employee,0,54123.55781,university education
0,383933.5497,64,secondary education,1,civil partnership,1,M,retiree,0,243033.4533,wedding ceremony
0,337659.535,53,secondary education,1,married,0,F,retiree,0,74363.85655,buying property for renting out
0,373129.7897,63,masters degree,0,civil partnership,1,F,retiree,0,206872.3501,having a wedding
0,-72.6257852,42,secondary education,1,civil partnership,1,F,partner,0,49463.91938,second-hand car purchase
2,,35,masters degree,0,married,0,F,employee,0,,housing transactions
2,-5010.997436,39,secondary education,1,married,0,F,employee,0,155886.8566,buy real estate
1,-1669.279681,40,masters degree,0,civil partnership,1,F,employee,0,191397.9627,to have a wedding
1,-1446.622542,32,secondary education,1,married,0,M,employee,1,331139.5903,purchase of a car
1,,34,masters degree,0,civil partnership,1,F,partner,0,,having a wedding
0,-541.8322412,51,masters degree,0,married,0,F,employee,0,94187.87808,car
0,,44,SECONDARY EDUCATION,1,married,0,F,employee,0,,buy residential real estate
0,,47,masters degree,0,married,0,F,employee,0,,profile education
0,364906.2057,54,masters degree,0,married,0,F,retiree,0,199707.2985,buying property for renting out
0,346541.6189,0,Secondary Education,1,married,0,F,retiree,0,71291.52249,car
0,-605.026441,49,SECONDARY EDUCATION,1,widow / widower,2,F,employee,1,176384.8825,real estate transactions
0,391558.9618,65,secondary education,1,married,0,F,retiree,0,157970.4864,buying my own car
0,-1377.447235,51,secondary education,1,civil partnership,1,F,partner,0,126706.5985,buying a second-hand car
1,-888.2833471,39,SECONDARY EDUCATION,1,unmarried,4,F,employee,0,142231.4894,building a property
0,366323.6494,59,secondary education,1,unmarried,4,F,retiree,0,163581.9501,buying property for renting out
0,-2098.626296,62,SECONDARY EDUCATION,1,widow / widower,2,F,employee,0,76884.18759,construction of own property
1,-300.6425933,29,secondary education,1,civil partnership,1,F,employee,0,171871.7329,education
0,-1493.449117,24,masters degree,0,civil partnership,1,F,partner,0,202988.7691,construction of own property
2,-753.4670421,33,masters degree,0,civil partnership,1,F,employee,0,180051.752,second-hand car purchase
0,-2147.472608,59,secondary education,1,married,0,F,employee,0,107643.6756,education
0,-413.9826021,41,secondary education,1,married,0,M,civil servant,0,118551.6078,purchase of the house
0,-12930.54168,61,secondary education,1,unmarried,4,F,partner,0,173896.6183,property
1,-1841.358094,28,masters degree,0,married,0,M,employee,0,280934.3059,property
0,-6083.99473,52,secondary education,1,married,0,F,civil servant,0,120655.0983,education
0,-1599.879161,26,masters degree,0,married,0,F,employee,1,143471.7123,transactions with my real estate
1,-2523.847898,38,masters degree,0,married,0,F,civil servant,0,97848.27661,transactions with the residential real estate
1,-540.0384252,50,secondary education,1,married,0,M,employee,0,83366.3197,buy residential real estate
0,-3817.113295,41,secondary education,1,divorced,3,F,employee,0,178975.1336,to buy a car
2,-2774.655137,33,secondary education,1,civil partnership,1,M,partner,0,113572.2134,having a wedding
0,382189.1291,60,secondary education,1,unmarried,4,F,retiree,0,31534.7505,buy commercial real estate
0,,46,secondary education,1,married,0,F,employee,0,,university education
0,,29,masters degree,0,married,0,F,partner,0,,car
0,-171.1624207,55,MASTERS DEGREE,0,married,0,F,partner,0,103628.0709,cars
2,-5718.708901,39,Secondary Education,1,married,0,M,employee,0,83892.81599,buying property for renting out
0,-1080.514782,38,secondary education,1,married,0,F,employee,1,175046.4225,transactions with the residential real estate
0,-191.1467458,64,masters degree,0,civil partnership,1,F,partner,0,186408.7418,wedding ceremony
1,-2471.548552,49,secondary education,1,married,0,M,partner,0,339517.3611,construction of own property
0,-5229.552069,43,MASTERS DEGREE,0,unmarried,4,F,employee,0,203279.5998,building a real estate
0,379035.9206,67,secondary education,1,divorced,3,F,retiree,0,112331.7871,purchase of a car
0,361010.3213,61,secondary education,1,civil partnership,1,M,retiree,0,103644.9325,car
0,-897.3228055,42,secondary education,1,married,0,F,partner,0,95845.74471,transactions with my real estate
0,-639.5647076,58,secondary education,1,married,0,M,employee,0,73637.58619,to get asupplementary education
1,-1306.428456,45,secondary education,1,married,0,M,employee,0,246227.9925,car
0,344507.3928,64,secondary education,1,married,0,F,retiree,0,79047.65306,education
1,-4171.107677,46,BACHELOR DEGREE,2,divorced,3,F,employee,0,166015.7905,buy residential real estate
0,,27,secondary education,1,married,0,M,partner,0,,housing
0,357880.1594,60,primary education,3,married,0,M,retiree,0,113124.2028,transactions with my real estate
1,-1910.037592,28,masters degree,0,civil partnership,1,M,employee,0,269423.963,to have a wedding
0,-2572.053173,43,secondary education,1,married,0,F,civil servant,0,119827.6542,purchase of my own house
0,-1765.557387,29,bachelor degree,2,married,0,M,partner,0,196932.0773,property renovation
0,-3017.782065,24,secondary education,1,civil partnership,1,F,employee,0,102110.9891,buy commercial real estate
0,,39,secondary education,1,civil partnership,1,M,employee,0,,wedding ceremony
0,347947.8355,54,secondary education,1,married,0,F,retiree,0,108280.6449,second-hand car purchase
0,-1893.299829,48,secondary education,1,widow / widower,2,F,employee,0,151069.4385,construction of own property
1,-2105.382664,45,secondary education,1,civil partnership,1,F,employee,0,284248.0833,to own a car
0,,62,secondary education,1,married,0,M,retiree,0,,building a property
0,-1302.026042,46,secondary education,1,married,0,F,employee,0,98709.73055,purchase of the house
0,-5772.479896,47,secondary education,1,married,0,F,civil servant,1,74535.09733,real estate transactions
0,-5050.29284,37,secondary education,1,married,0,F,employee,0,145159.215,buying my own car
0,-2664.273168,0,secondary education,1,divorced,3,F,employee,0,70176.43595,housing transactions
0,393711.5199,71,secondary education,1,civil partnership,1,F,retiree,0,174088.2932,to have a wedding
0,-896.4623714,37,masters degree,0,civil partnership,1,F,partner,0,463089.9792,to have a wedding
1,-3597.776388,39,secondary education,1,married,0,F,partner,0,40891.12824,purchase of my own house
1,-132.748536,20,secondary education,1,married,0,M,partner,1,134750.7495,housing
1,-1803.930605,41,masters degree,0,widow / widower,2,F,employee,0,143113.3293,transactions with the residential real estate
0,-1208.596179,40,secondary education,1,married,0,F,partner,0,70788.33945,supplementary education
0,362366.8572,65,Secondary Education,1,married,0,M,retiree,0,261291.0365,to get asupplementary education
0,348414.028,38,secondary education,1,married,0,F,retiree,1,113560.65,purchase of a car
0,-11001.58909,56,secondary education,1,married,0,F,employee,0,80547.23926,education
0,371052.6968,59,secondary education,1,unmarried,4,F,retiree,0,149542.8589,buying my own car
0,-2063.223473,45,secondary education,1,civil partnership,1,M,employee,0,198386.799,buying property for renting out
1,-1147.591637,39,masters degree,0,married,0,F,employee,0,87107.11821,car purchase
0,-3755.843042,62,secondary education,1,married,0,M,employee,0,66577.61713,to get asupplementary education
0,-7473.902957,50,secondary education,1,married,0,M,employee,0,78975.57711,property renovation
2,-2357.523214,27,masters degree,0,married,0,F,employee,1,369587.0877,buying my own car
2,-1268.870686,32,masters degree,0,married,0,M,civil servant,0,228289.2484,purchase of the house
0,-450.0613424,38,Secondary Education,1,civil partnership,1,M,employee,0,144073.7114,housing transactions
0,-7219.276087,56,secondary education,1,civil partnership,1,F,civil servant,0,220719.0551,having a wedding
0,361970.2205,67,secondary education,1,widow / widower,2,F,retiree,0,139038.9446,purchase of my own house
0,372110.893,58,secondary education,1,civil partnership,1,F,retiree,0,167861.7008,car purchase
0,-182.2267233,28,masters degree,0,unmarried,4,M,employee,0,121721.8928,housing
0,-9566.241471,60,secondary education,1,civil partnership,1,F,partner,0,225197.7953,having a wedding
0,-4652.167869,49,secondary education,1,married,0,F,employee,0,182980.1156,building a property
0,-9099.945305,49,secondary education,1,married,0,M,partner,0,416461.8747,buy commercial real estate
0,,55,masters degree,0,widow / widower,2,F,partner,0,,to own a car
2,-1734.741012,38,secondary education,1,married,0,F,employee,0,141210.6842,building a property
0,364178.2549,60,secondary education,1,married,0,F,retiree,0,104621.0674,going to university
2,-2109.314691,48,secondary education,1,married,0,M,civil servant,0,173074.1929,second-hand car purchase
0,395728.3614,59,secondary education,1,widow / widower,2,F,retiree,0,87268.77879,car purchase
0,-1177.055383,43,secondary education,1,unmarried,4,F,employee,0,177790.0139,purchase of my own house
0,-60.63732756,37,secondary education,1,civil partnership,1,F,employee,0,212257.2125,to have a wedding
0,,26,secondary education,1,civil partnership,1,F,partner,1,,purchase of the house for my family
1,-8164.333209,49,secondary education,1,civil partnership,1,F,employee,0,81419.7034,wedding ceremony
1,-166.265037,35,masters degree,0,civil partnership,1,M,partner,1,272193.003,to get asupplementary education
0,369682.2227,57,masters degree,0,married,0,M,retiree,0,141337.867,buying property for renting out
0,-5026.22946,32,secondary education,1,civil partnership,1,M,employee,1,160905.707,to get asupplementary education
0,-225.1236895,34,secondary education,1,divorced,3,F,employee,0,201650.3553,transactions with the residential real estate
0,-876.8431102,46,masters degree,0,civil partnership,1,F,employee,0,260037.6656,university education
0,-99.19594695,48,secondary education,1,married,0,M,employee,0,173544.6795,purchase of my own house
1,,30,secondary education,1,unmarried,4,F,employee,0,,to own a car
0,-335.5229563,26,secondary education,1,civil partnership,1,M,partner,0,160891.4721,having a wedding
0,336562.0164,60,SECONDARY EDUCATION,1,married,0,F,retiree,0,173948.3522,university education
0,-2573.13678,47,secondary education,1,married,0,M,employee,0,218442.0078,to own a car
0,386330.8511,60,masters degree,0,divorced,3,F,retiree,0,97191.9964,buying a second-hand car
0,-98.31216168,24,secondary education,1,civil partnership,1,M,partner,0,135860.887,getting an education
0,-117.1278865,51,secondary education,1,married,0,F,employee,0,255838.3617,supplementary education
0,-1589.781401,37,masters degree,0,married,0,F,partner,0,160754.5481,purchase of my own house
0,-12136.13138,59,masters degree,0,married,0,F,employee,0,140849.6246,buy real estate
0,-1403.08083,52,secondary education,1,unmarried,4,F,partner,0,139169.4135,buying my own car
1,-223.5470177,23,Secondary Education,1,widow / widower,2,F,employee,0,58549.62739,second-hand car purchase
0,-5532.372185,41,secondary education,1,civil partnership,1,F,employee,0,201126.0474,building a property
0,-6542.46079,39,secondary education,1,married,0,F,partner,0,86996.80723,buy residential real estate
1,-1575.323578,38,secondary education,1,married,0,F,employee,1,90960.94119,buy residential real estate
0,-2829.665755,56,SECONDARY EDUCATION,1,married,0,M,employee,0,163774.7734,construction of own property
0,334637.4645,61,secondary education,1,married,0,F,retiree,0,181307.7994,building a real estate
1,,31,masters degree,0,married,0,F,employee,0,,buying a second-hand car
0,363924.8817,54,Secondary Education,1,married,0,F,retiree,0,267172.7092,getting an education
0,-1352.317907,37,secondary education,1,unmarried,4,F,employee,0,112735.879,purchase of my own house
0,-749.1756773,22,secondary education,1,civil partnership,1,M,partner,0,162492.0184,profile education
2,-271.5705315,38,masters degree,0,married,0,F,employee,0,195133.3875,transactions with the residential real estate
2,342167.2121,55,primary education,3,widow / widower,2,F,retiree,0,160635.1203,building a real estate
0,-577.2734343,41,primary education,3,civil partnership,1,F,employee,0,36649.07844,second-hand car purchase
0,-5863.25903,48,masters degree,0,unmarried,4,M,civil servant,0,239697.6162,car purchase
1,-703.2435102,38,masters degree,0,civil partnership,1,M,employee,1,231389.8328,to buy a car
2,-1321.079223,41,bachelor degree,2,married,0,F,employee,0,314546.9934,purchase of the house for my family
0,-79.88034968,42,masters degree,0,unmarried,4,F,partner,0,260465.3945,real estate transactions
0,-356.1311944,22,masters degree,0,civil partnership,1,F,employee,0,118757.7701,education
0,384569.9216,54,secondary education,1,civil partnership,1,F,retiree,0,269589.0051,construction of own property
1,-2924.598386,34,secondary education,1,married,0,F,employee,1,213214.0925,buying my own car
0,-597.2734022,21,bachelor degree,2,civil partnership,1,F,partner,0,86954.92246,transactions with the residential real estate
1,,23,bachelor degree,2,civil partnership,1,F,partner,0,,to have a wedding
0,383772.1713,65,secondary education,1,widow / widower,2,F,retiree,0,178464.0801,cars
0,-145.5416175,32,masters degree,0,married,0,M,partner,0,188982.6726,buy residential real estate
0,337679.3583,61,secondary education,1,divorced,3,F,retiree,0,110251.1704,transactions with the residential real estate
2,-1024.94916,41,secondary education,1,married,0,F,partner,0,94587.13139,purchase of my own house
0,-434.9313375,52,secondary education,1,married,0,F,employee,0,153892.2656,building a property
1,-2066.908426,30,secondary education,1,married,0,F,civil servant,0,132754.3626,getting higher education
1,-1588.831642,64,masters degree,0,civil partnership,1,F,employee,0,142424.6435,housing
0,339193.0943,60,secondary education,1,unmarried,4,F,retiree,0,190426.1275,property renovation
0,336747.8353,73,secondary education,1,widow / widower,2,F,retiree,0,136897.0084,second-hand car purchase
1,-2049.211576,28,secondary education,1,civil partnership,1,M,partner,1,188585.6448,wedding ceremony
1,-144.1858538,41,SECONDARY EDUCATION,1,married,0,F,employee,1,112090.5975,purchase of the house for my family
0,-3803.807419,49,secondary education,1,civil partnership,1,F,employee,0,74616.87624,wedding ceremony
1,-1475.69749,50,secondary education,1,married,0,F,employee,0,143391.0714,to buy a car
0,-5865.315007,52,secondary education,1,unmarried,4,F,employee,0,140447.694,profile education
0,-1031.907604,50,secondary education,1,married,0,F,employee,0,125165.9401,housing
0,395825.1325,59,secondary education,1,married,0,F,retiree,0,142956.5459,to buy a car
2,-2585.402858,37,secondary education,1,married,0,M,employee,0,202689.757,buy real estate
0,-708.0735832,44,secondary education,1,civil partnership,1,F,employee,0,235437.4092,having a wedding
0,-5267.841785,43,secondary education,1,married,0,M,employee,0,436688.7693,real estate transactions
0,-4973.641485,47,secondary education,1,widow / widower,2,F,partner,0,132797.2437,buy commercial real estate
0,,47,secondary education,1,married,0,M,employee,0,,construction of own property
0,,58,secondary education,1,married,0,F,civil servant,0,,purchase of my own house
0,-464.6341336,49,masters degree,0,civil partnership,1,M,partner,0,383743.1532,wedding ceremony
0,-879.5873498,48,secondary education,1,civil partnership,1,F,employee,0,130945.6109,university education
0,-1933.318994,50,Secondary Education,1,divorced,3,M,employee,0,197169.8133,buy residential real estate
1,-1598.870214,40,secondary education,1,married,0,F,partner,0,158350.0769,building a property
1,,60,masters degree,0,married,0,F,retiree,1,,going to university
0,-3132.180734,31,secondary education,1,married,0,M,employee,0,259511.2005,buy residential real estate
0,-1615.914814,29,masters degree,0,married,0,F,employee,0,188190.3384,getting higher education
0,,54,masters degree,0,married,0,F,employee,0,,second-hand car purchase
0,380628.3793,71,secondary education,1,widow / widower,2,F,retiree,0,138877.1632,buy commercial real estate
1,-5793.741212,35,secondary education,1,married,0,F,partner,0,230040.1246,purchase of the house
0,357915.0363,63,secondary education,1,widow / widower,2,F,retiree,0,91947.76867,getting higher education
2,-940.6004541,44,MASTERS DEGREE,0,married,0,F,partner,0,327126.7383,housing
0,-6373.865376,45,secondary education,1,married,0,M,employee,0,119879.1545,purchase of the house
0,-1681.664549,52,secondary education,1,married,0,F,employee,0,82913.07959,supplementary education
0,-874.8530628,49,masters degree,0,married,0,M,employee,0,204544.9474,housing transactions
1,-930.0835696,47,secondary education,1,civil partnership,1,M,employee,0,149082.6978,wedding ceremony
0,-1611.570503,29,masters degree,0,civil partnership,1,F,employee,0,211975.5093,wedding ceremony
1,-1710.140334,29,secondary education,1,civil partnership,1,F,partner,0,286533.8602,purchase of the house for my family
0,-2658.486083,51,secondary education,1,married,0,F,partner,0,143913.5489,housing transactions
0,-1617.840355,44,secondary education,1,married,0,F,employee,0,168586.3898,buy real estate
0,383664.7812,52,secondary education,1,married,0,F,retiree,0,75225.83299,building a real estate
2,,40,secondary education,1,divorced,3,F,employee,0,,property
2,-2888.551724,48,secondary education,1,married,0,M,partner,0,215985.4414,building a property
0,330174.4847,59,secondary education,1,married,0,F,retiree,0,93391.58177,property
0,333718.4911,68,Masters Degree,0,married,0,F,retiree,0,161112.5202,transactions with the residential real estate
2,-2875.499548,29,masters degree,0,unmarried,4,M,employee,0,266641.9943,purchase of the house
2,-146.0006631,37,secondary education,1,married,0,F,employee,1,80334.09573,buying a second-hand car
3,-1872.663186,0,secondary education,1,married,0,F,employee,0,102166.4589,property renovation
0,348537.5001,66,secondary education,1,widow / widower,2,F,retiree,0,61441.44475,car
0,-5538.963731,35,primary education,3,civil partnership,1,M,employee,1,123814.0795,to become educated
0,396814.1841,57,secondary education,1,unmarried,4,F,retiree,0,90523.53554,going to university
2,-1945.376676,25,secondary education,1,civil partnership,1,M,partner,0,330328.4947,to have a wedding
0,-1481.276143,44,secondary education,1,married,0,F,employee,0,47871.33938,buy commercial real estate
0,-8631.590122,64,secondary education,1,married,0,F,employee,0,160814.512,property renovation
1,-2725.970573,46,secondary education,1,civil partnership,1,M,employee,0,122263.2085,to have a wedding
1,,23,Secondary Education,1,civil partnership,1,F,employee,1,,car
0,,44,Secondary Education,1,civil partnership,1,F,employee,0,,transactions with my real estate
0,,66,secondary education,1,married,0,F,retiree,0,,housing transactions
1,-1912.652678,44,secondary education,1,married,0,M,partner,0,207375.3648,property renovation
2,-4016.445179,33,secondary education,1,married,0,M,employee,0,231068.8643,purchase of the house
0,384733.816,56,secondary education,1,widow / widower,2,F,retiree,0,162416.1378,buying my own car
0,-9488.078234,63,masters degree,0,married,0,F,employee,0,103078.0174,cars
0,-877.6474188,50,secondary education,1,married,0,M,partner,1,81863.11439,going to university
0,-9854.773564,45,secondary education,1,married,0,F,employee,0,104614.1155,buying a second-hand car
0,-1382.864823,47,secondary education,1,married,0,M,employee,1,143042.6143,purchase of my own house
0,-1303.957795,28,secondary education,1,married,0,F,employee,0,86117.27069,construction of own property
1,-710.6809162,44,secondary education,1,married,0,F,employee,0,153439.5968,property renovation
0,-1006.240054,35,secondary education,1,married,0,M,partner,0,160483.2425,to get asupplementary education
-1,-4417.703588,46,secondary education,1,civil partnership,1,F,employee,0,102816.3464,profile education
0,-3675.617929,56,secondary education,1,married,0,F,employee,0,133383.5501,property
0,360701.1266,65,secondary education,1,married,0,F,retiree,0,169009.3076,property
4,-2220.384765,36,masters degree,0,civil partnership,1,F,employee,0,335024.6726,wedding ceremony
0,-884.5458974,27,secondary education,1,civil partnership,1,F,partner,0,112633.0411,buying a second-hand car
0,-741.1272799,43,MASTERS DEGREE,0,married,0,F,employee,0,203323.3699,buying property for renting out
0,-471.7627962,45,secondary education,1,married,0,F,employee,1,143383.3662,building a property
1,-1082.798951,44,secondary education,1,married,0,F,partner,0,111147.2492,second-hand car purchase
0,-1433.381776,28,masters degree,0,married,0,F,employee,0,235583.3316,transactions with the residential real estate
1,-359.1939749,33,SECONDARY EDUCATION,1,civil partnership,1,M,employee,0,223001.624,having a wedding
0,-848.5856662,53,SECONDARY EDUCATION,1,married,0,M,employee,1,174396.1022,building a property
2,-259.7371554,49,primary education,3,civil partnership,1,F,employee,0,194077.3316,buy commercial real estate
2,-1684.728463,25,secondary education,1,unmarried,4,F,civil servant,0,63048.05404,supplementary education
0,367142.9474,66,secondary education,1,married,0,F,retiree,0,92974.01278,transactions with the residential real estate
2,-7381.422129,36,secondary education,1,divorced,3,F,employee,1,45033.20307,property
0,-801.5095055,61,secondary education,1,married,0,F,partner,0,138248.7625,building a real estate
0,-223.3644276,22,secondary education,1,unmarried,4,F,civil servant,0,127677.9474,transactions with the residential real estate
0,-916.323737,28,masters degree,0,married,0,M,civil servant,0,261111.2131,property renovation
0,385603.0411,63,secondary education,1,widow / widower,2,F,retiree,0,102001.2557,property
0,-7813.942226,49,secondary education,1,married,0,M,partner,0,156281.9551,buy residential real estate
0,354218.7163,44,Secondary Education,1,married,0,F,retiree,0,47457.97996,going to university
1,,33,secondary education,1,civil partnership,1,M,employee,1,,buying property for renting out
0,-519.3467721,35,secondary education,1,married,0,M,partner,1,325440.901,supplementary education
2,-672.7917695,39,secondary education,1,married,0,M,employee,0,111385.4899,buy real estate
0,390154.5999,61,secondary education,1,married,0,F,retiree,0,145978.2127,education
0,-740.7219314,34,secondary education,1,unmarried,4,M,civil servant,0,202125.1913,purchase of the house for my family
0,,21,masters degree,0,unmarried,4,M,employee,0,,purchase of a car
0,-3236.795575,35,masters degree,0,married,0,M,partner,0,310574.4572,to own a car
0,-5484.416235,55,masters degree,0,married,0,F,employee,0,423422.7915,building a real estate
0,,63,secondary education,1,widow / widower,2,F,employee,0,,buying a second-hand car
1,,34,masters degree,0,civil partnership,1,M,partner,0,,having a wedding
0,,56,SECONDARY EDUCATION,1,civil partnership,1,F,retiree,1,,to have a wedding
0,-1419.81609,64,secondary education,1,married,0,M,partner,0,227706.366,buying property for renting out
0,-7694.849832,42,masters degree,0,married,0,M,civil servant,0,320700.9275,transactions with the residential real estate
0,-2277.897532,29,secondary education,1,married,0,M,employee,0,156680.5966,buy residential real estate
0,352404.9452,55,secondary education,1,divorced,3,F,retiree,0,92673.66876,buy real estate
